(14)	[10]	bl
(129)	[195]	tr
[180]	(125)	tr
'63'	'19'	bl
(170)	[195]	tr
[195]	[73]	br
<133>	{170}	tr
[76]	(106)	tl
'19'	<200>	tl
(55)	[69]	bl
`179`	[34]	br
`83`	`112`	tl
`162`	'23'	br
'109'	`184`	tr
`118`	{116}	tr
[84]	(36)	bl
`198`	'64'	br
'157'	<18>	br
<152>	(17)	br
'78'	<80>	bl
(129)	`125`	tr
<198>	`171`	tr
[79]	(137)	tl
`66`	{42}	bl
{153}	(4)	br
[33]	{42}	bl
{100}	`75`	br
(48)	(122)	tl
<71>	`102`	tl
<62>	'32'	bl
[15]	'33'	bl
(24)	[122]	tl
<82>	'19'	bl
<84>	<141>	tl
(23)	'9'	bl
`193`	'40'	br
{188}	{154}	tr
<101>	'169'	tr
[126]	<4>	br
{156}	'77'	br
(187)	'108'	tr
`111`	[115]	tr
[122]	{17}	br
`113`	{33}	br
`80`	`81`	bl
'114'	<180>	tr
(11)	{50}	bl
`64`	`107`	tl
(66)	(73)	bl
[112]	[164]	tr
{195}	'101'	tr
`8`	<101>	tl
{147}	[83]	br
[103]	{67}	br
'72'	[171]	tl
{147}	`13`	br
<121>	<112>	tr
{88}	'88'	bl
'43'	[59]	bl
(79)	{44}	bl
<189>	'160'	tr
<67>	{28}	bl
`108`	'166'	tr
'4'	{193}	tl
{150}	(27)	br
{40}	[87]	bl
'66'	[92]	bl
'124'	{61}	br
(6)	{113}	tl
[6]	<65>	bl
'119'	[37]	br
<37>	[48]	bl
`155`	{17}	br
[166]	[161]	tr
{65}	'1'	bl
[144]	<154>	tr
`198`	<140>	tr
{120}	'176'	tr
(104)	[183]	tr
<44>	[179]	tl
'134'	[81]	br
(67)	<110>	tl
`38`	{184}	tl
'139'	'122'	tr
(165)	[42]	br
'9'	<163>	tl
(65)	<4>	bl
<27>	<184>	tl
(89)	'21'	bl
'144'	'134'	tr
'186'	{43}	br
(109)	<165>	tr
<107>	[19]	br
<73>	[25]	bl
`1`	'100'	tl
{185}	'64'	br
[18]	[36]	bl
`195`	<33>	br
`109`	(176)	tr
[54]	[82]	bl
{24}	'71'	bl
'112'	`161`	tr
(111)	<71>	br
`117`	<19>	br
{123}	[125]	tr
{22}	[7]	bl
{7}	<184>	tl
[174]	[75]	br
(116)	[198]	tr
{125}	[173]	tr
<197>	[117]	tr
'25'	{50}	bl
{2}	'90'	bl
'23'	[56]	bl
<81>	`68`	bl
[69]	{143}	tl
{183}	[200]	tr
`114`	(59)	br
{58}	[38]	bl
`108`	{155}	tr
[57]	{130}	tl
<199>	'180'	tr
<129>	'26'	br
`139`	`86`	br
<25>	<78>	bl
'78'	(21)	bl
(94)	{34}	bl
[165]	<135>	tr
(86)	'44'	bl
<151>	[180]	tr
<152>	'60'	br
<185>	`103`	tr
(42)	'30'	bl
`17`	[57]	bl
[104]	`104`	tr
{198}	{191}	tr
'91'	`34`	bl
'77'	[54]	bl
'150'	`168`	tr
[5]	'196'	tl
(34)	<57>	bl
{131}	`169`	tr
'90'	[50]	bl
{5}	'121'	tl
`70`	(99)	bl
[178]	<3>	br
[124]	<151>	tr
<200>	{164}	tr
(1)	{159}	tl
'20'	[155]	tl
<51>	'71'	bl
[188]	`126`	tr
{25}	[38]	bl
(55)	'27'	bl
(72)	(10)	bl
`170`	'7'	br
<143>	{136}	tr
'84'	<17>	bl
<187>	{167}	tr
`146`	(6)	br
<154>	(53)	br
{106}	<126>	tr
{195}	{143}	tr
[115]	`125`	tr
{60}	<188>	tl
{122}	'153'	tr
<97>	'138'	tl
<78>	`162`	tl
(59)	(143)	tl
<133>	[100]	tr
<93>	[152]	tl
{35}	(117)	tl
(152)	{115}	tr
[136]	(165)	tr
{183}	`184`	tr
[186]	<192>	tr
(138)	[107]	tr
`134`	[149]	tr
(167)	{35}	br
[130]	[185]	tr
{19}	{118}	tl
(125)	{51}	br
`44`	`105`	tl
'68'	'97'	bl
<193>	`147`	tr
`110`	'73'	br
`15`	`193`	tl
`200`	(128)	tr
<61>	(195)	tl
{89}	{13}	bl
'80'	{101}	tl
(126)	`77`	br
{22}	[61]	bl
`62`	[72]	bl
(38)	`27`	bl
(46)	(146)	tl
(78)	<147>	tl
(28)	(49)	bl
`90`	`172`	tl
`159`	<133>	tr
`27`	<51>	bl
