flight_history_id,departure_airport_code,arrival_airport_code,published_departure,published_arrival,scheduled_gate_departure,scheduled_gate_arrival,scheduled_runway_departure,scheduled_runway_arrival
280774878,SJC,LAX,MISSING,MISSING,2012-11-19 17:05:00+00:00,2012-11-19 18:25:00+00:00,2012-11-19 17:05:00+00:00,2012-11-19 18:25:00+00:00
280778857,SNA,DFW,MISSING,MISSING,2012-11-19 15:30:00+00:00,2012-11-19 18:30:00+00:00,2012-11-19 15:44:00+00:00,2012-11-19 18:42:00+00:00
280779459,SNA,DFW,MISSING,MISSING,2012-11-19 16:50:00+00:00,2012-11-19 19:40:00+00:00,2012-11-19 17:03:00+00:00,2012-11-19 19:51:00+00:00
280864926,BFI,DFW,MISSING,MISSING,2012-11-19 17:30:00+00:00,2012-11-19 21:15:00+00:00,2012-11-19 17:39:00+00:00,2012-11-19 21:25:00+00:00
280787758,BNA,IAH,2012-11-19 16:59:00+00:00,2012-11-19 19:20:00+00:00,2012-11-19 16:59:00+00:00,2012-11-19 19:20:00+00:00,2012-11-19 17:09:00+00:00,2012-11-19 18:50:00+00:00
280795375,CLE,DUJ,2012-11-19 17:15:00+00:00,2012-11-19 18:20:00+00:00,2012-11-19 17:15:00+00:00,2012-11-19 18:20:00+00:00,2012-11-19 17:26:00+00:00,2012-11-19 18:04:00+00:00
280799228,DAL,HOU,2012-11-19 17:00:00+00:00,2012-11-19 18:05:00+00:00,2012-11-19 17:00:00+00:00,2012-11-19 18:05:00+00:00,2012-11-19 17:10:00+00:00,2012-11-19 17:57:00+00:00
280837988,ORD,OMA,2012-11-19 15:50:00+00:00,2012-11-19 17:25:00+00:00,2012-11-19 15:50:00+00:00,2012-11-19 17:25:00+00:00,2012-11-19 16:06:00+00:00,2012-11-19 17:28:00+00:00
280824156,LGA,DTW,2012-11-19 15:50:00+00:00,2012-11-19 17:50:00+00:00,2012-11-19 15:50:00+00:00,2012-11-19 17:50:00+00:00,2012-11-19 16:17:00+00:00,2012-11-19 17:58:00+00:00
280796031,CLT,MIA,2012-11-19 15:55:00+00:00,2012-11-19 18:00:00+00:00,2012-11-19 15:55:00+00:00,2012-11-19 18:00:00+00:00,2012-11-19 16:13:00+00:00,2012-11-19 18:09:00+00:00
280823296,LAX,STL,2012-11-19 15:00:00+00:00,2012-11-19 18:40:00+00:00,2012-11-19 15:00:00+00:00,2012-11-19 18:40:00+00:00,2012-11-19 15:21:00+00:00,2012-11-19 18:45:00+00:00
280857451,TYS,DFW,2012-11-19 15:55:00+00:00,2012-11-19 18:35:00+00:00,2012-11-19 15:55:00+00:00,2012-11-19 18:35:00+00:00,2012-11-19 16:06:00+00:00,2012-11-19 18:45:00+00:00
280841086,PHL,CHO,2012-11-19 16:15:00+00:00,2012-11-19 17:25:00+00:00,2012-11-19 16:15:00+00:00,2012-11-19 17:25:00+00:00,2012-11-19 16:22:00+00:00,2012-11-19 17:17:00+00:00
280830890,MIA,BHM,2012-11-19 15:45:00+00:00,2012-11-19 17:45:00+00:00,2012-11-19 15:45:00+00:00,2012-11-19 17:45:00+00:00,2012-11-19 16:01:00+00:00,2012-11-19 17:48:00+00:00
280838110,ORD,SAT,2012-11-19 16:30:00+00:00,2012-11-19 19:20:00+00:00,2012-11-19 16:30:00+00:00,2012-11-19 19:20:00+00:00,2012-11-19 16:46:00+00:00,2012-11-19 19:23:00+00:00
280823962,LGA,ATL,2012-11-19 14:55:00+00:00,2012-11-19 17:20:00+00:00,2012-11-19 14:55:00+00:00,2012-11-19 17:20:00+00:00,2012-11-19 15:23:00+00:00,2012-11-19 17:27:00+00:00
280842182,PIT,JFK,2012-11-19 16:20:00+00:00,2012-11-19 17:50:00+00:00,2012-11-19 16:20:00+00:00,2012-11-19 17:50:00+00:00,2012-11-19 16:31:00+00:00,2012-11-19 17:57:00+00:00
280801355,DFW,GRK,2012-11-19 17:10:00+00:00,2012-11-19 18:00:00+00:00,2012-11-19 17:10:00+00:00,2012-11-19 18:00:00+00:00,2012-11-19 17:25:00+00:00,2012-11-19 18:04:00+00:00
280786454,BHM,DFW,2012-11-19 16:10:00+00:00,2012-11-19 18:20:00+00:00,2012-11-19 16:10:00+00:00,2012-11-19 18:20:00+00:00,2012-11-19 16:24:00+00:00,2012-11-19 18:30:00+00:00
280860980,XNA,ORD,2012-11-19 16:45:00+00:00,2012-11-19 18:30:00+00:00,2012-11-19 16:45:00+00:00,2012-11-19 18:30:00+00:00,2012-11-19 16:58:00+00:00,2012-11-19 18:38:00+00:00
280838019,ORD,PHL,2012-11-19 16:30:00+00:00,2012-11-19 18:20:00+00:00,2012-11-19 16:30:00+00:00,2012-11-19 18:20:00+00:00,2012-11-19 16:46:00+00:00,2012-11-19 18:25:00+00:00
280831739,MLU,DFW,2012-11-19 16:45:00+00:00,2012-11-19 18:05:00+00:00,2012-11-19 16:45:00+00:00,2012-11-19 18:05:00+00:00,2012-11-19 16:53:00+00:00,2012-11-19 18:15:00+00:00
280837895,ORD,MHK,2012-11-19 17:00:00+00:00,2012-11-19 18:45:00+00:00,2012-11-19 17:00:00+00:00,2012-11-19 18:45:00+00:00,2012-11-19 17:15:00+00:00,2012-11-19 18:48:00+00:00
280781472,AMA,DFW,2012-11-19 17:05:00+00:00,2012-11-19 18:15:00+00:00,2012-11-19 17:05:00+00:00,2012-11-19 18:15:00+00:00,2012-11-19 17:15:00+00:00,2012-11-19 18:25:00+00:00
280831151,MIA,MEM,2012-11-19 16:20:00+00:00,2012-11-19 19:00:00+00:00,2012-11-19 16:20:00+00:00,2012-11-19 19:00:00+00:00,2012-11-19 16:36:00+00:00,2012-11-19 19:05:00+00:00
280801072,DFW,AMA,2012-11-19 17:05:00+00:00,2012-11-19 18:20:00+00:00,2012-11-19 17:05:00+00:00,2012-11-19 18:20:00+00:00,2012-11-19 17:20:00+00:00,2012-11-19 18:24:00+00:00
